#group,false,false,true,true,false,false,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string
#default,mean,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T00:52:00Z,7.11,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T01:00:00Z,7.36,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T01:12:00Z,7.44,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T01:20:00Z,7.44,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T01:32:00Z,7.44,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T01:40:00Z,7.22,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T01:52:00Z,7.21,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T02:00:00Z,7.21,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T02:12:00Z,7.13,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T02:20:00Z,7.15,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T02:32:00Z,7.15,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T02:40:00Z,7.37,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T02:52:00Z,6.83,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T03:00:00Z,6.78,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T03:12:00Z,6.9,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T03:20:00Z,6.9,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T03:32:00Z,6.35,_value,AQI
,,0,2025-08-24T13:22:51.066165614Z,2025-08-25T13:22:51.066165614Z,2025-08-25T03:40:00Z,6.81,_value,AQI
